DATE,CORESTICKM159SFRBATL
2003-12-01,1.976213
2004-01-01,1.9607229
2004-02-01,2.0481367
2004-03-01,2.1370611
2004-04-01,2.2577613
2004-05-01,2.2378638
2004-06-01,2.3794884
2004-07-01,2.2638524
2004-08-01,2.2577292
2004-09-01,2.240201
2004-10-01,2.2372194
2004-11-01,2.3012131
2004-12-01,2.3138859
2005-01-01,2.3158903
2005-02-01,2.2862449
2005-03-01,2.2461526
2005-04-01,2.2397223
2005-05-01,2.3579552
2005-06-01,2.1993552
2005-07-01,2.3010794
2005-08-01,2.2644059
2005-09-01,2.3340762
2005-10-01,2.3253024
